typname,oid,typlen
_pg_foreign_server,12077,-1
pg_user_mapping,12080,-1
_pg_user_mapping,12079,-1
pg_foreign_table,12082,-1
_pg_foreign_table,12081,-1
pg_policy,12084,-1
_pg_policy,12083,-1
pg_replication_origin,12086,-1
_pg_replication_origin,12085,-1
pg_default_acl,12088,-1
_pg_default_acl,12087,-1
pg_init_privs,12090,-1
_pg_init_privs,12089,-1
pg_seclabel,12092,-1
_pg_seclabel,12091,-1
pg_shseclabel,4066,-1
_pg_shseclabel,12093,-1
pg_collation,12095,-1
_pg_collation,12094,-1
pg_partitioned_table,12097,-1
_pg_partitioned_table,12096,-1
pg_range,12099,-1
_pg_range,12098,-1
pg_transform,12101,-1
_pg_transform,12100,-1
pg_sequence,12103,-1
_pg_sequence,12102,-1
pg_publication,12105,-1
_pg_publication,12104,-1
pg_publication_rel,12107,-1
_pg_publication_rel,12106,-1
pg_subscription,6101,-1
_pg_subscription,12108,-1
pg_subscription_rel,12110,-1
_pg_subscription_rel,12109,-1
pg_roles,12219,-1
_pg_roles,12218,-1
pg_shadow,12224,-1
_pg_shadow,12223,-1
pg_group,12229,-1
_pg_group,12228,-1
pg_user,12233,-1
_pg_user,12232,-1
pg_policies,12237,-1
_pg_policies,12236,-1
pg_rules,12242,-1
_pg_rules,12241,-1
pg_views,12247,-1
_pg_views,12246,-1
pg_tables,12252,-1
_pg_tables,12251,-1
pg_matviews,12257,-1
_pg_matviews,12256,-1
pg_indexes,12262,-1
_pg_indexes,12261,-1
pg_sequences,12267,-1
_pg_sequences,12266,-1
pg_stats,12272,-1
_pg_stats,12271,-1
pg_stats_ext,12277,-1
_pg_stats_ext,12276,-1
pg_stats_ext_exprs,12282,-1
_pg_stats_ext_exprs,12281,-1
pg_publication_tables,12287,-1
_pg_publication_tables,12286,-1
pg_locks,12292,-1
_pg_locks,12291,-1
pg_cursors,12296,-1
_pg_cursors,12295,-1
pg_available_extensions,12300,-1
_pg_available_extensions,12299,-1
pg_available_extension_versions,12304,-1
_pg_available_extension_versions,12303,-1
pg_prepared_xacts,12309,-1
_pg_prepared_xacts,12308,-1
pg_prepared_statements,12314,-1
_pg_prepared_statements,12313,-1
pg_seclabels,12318,-1
_pg_seclabels,12317,-1
